tumbol_ID,poverty_rate_living
110110,0.0871946235430151
110111,-0.0033325562244105322
110152,0.0
110153,0.0
110154,0.0
110203,0.03551829543441981
110207,0.02029997197231892
110208,0.039167066393756
110251,0.0
110301,0.11441551345441703
110302,0.13904097838676222
110351,0.0
110408,0.0989443000932273
110410,0.0504356936877382
110413,0.06237263921793157
110451,0.0
110551,0.0
110552,0.0
110602,0.06700089040113677
110603,0.08130003563968324
120106,0.06266607443374245
120151,0.0
120204,0.05798185449265636
120206,0.02632427310440444
120207,0.021258973488061994
120303,0.06660995064537045
120306,0.08920740533472538
120405,0.09354463824384124
120407,0.09324521093388105
120451,0.0
120501,0.0881717930608889
120506,0.06856776541341203
120507,0.05498305850267177
120608,0.10284009501059721
120609,0.0735196900948002
120611,0.049760923412951075
130105,0.050275264456320634
130106,0.0795896426022773
130112,0.0911116804514317
130151,0.0
130152,0.0
130153,0.0
130204,0.07866049905963318
130206,0.0963871347866117
130252,0.0
130351,0.0
130353,0.0
130401,0.06562379885644531
130403,0.09229534123234195
130451,0.0
130502,0.023838165899079555
130504,0.056149329056408404
130506,0.0742502305570048
130605,0.05943511526499978
130607,0.18891190976688538
130608,0.0874334387823682
130651,0.0
130704,0.06254738236736673
130705,0.046311682807129384
130708,0.08792393465513121
130710,0.05574174203157195
130711,0.06731429912640569
140109,0.0905221685329961
140111,0.12802231289355925
140114,0.14353004181388312
140115,0.11302119281595785
140117,0.09052063833501739
140119,0.11922082812216445
140121,0.11134594616551541
140204,0.1298008312596864
140210,0.15466226138966627
140251,0.0
140252,0.0
140308,0.1473369655769492
140309,0.09180663016096996
140310,0.10491741689862949
140311,0.11275285845244504
140351,0.0
140402,0.13475012326100327
140403,0.0732369018510376
140404,0.04269096858355875
140407,0.061169266162907965
140411,0.06443456842802597
140417,0.07968912179535226
140419,0.10989718846559349
140421,0.06752375289785384
140503,0.1092802502320877
140506,0.07479306539412761
140507,0.06859794435377953
140508,0.08210996466872306
140509,0.06275584591830669
140512,0.05526607623136376
140604,0.12310028721899419
140605,0.129716229043987
140606,0.1343888366517736
140608,0.08141301464580081
140611,0.10320539854922683
140613,0.05996230538582281
140615,0.08149237300883871
140702,0.09969375394792773
140703,0.09460449627280132
140704,0.11399034737217206
140707,0.1620719043458822
140708,0.17555399451294268
140715,0.1170036015487303
140751,0.0
140803,0.13725453792596454
140807,0.03992656293162461
140810,0.029881858561487562
140814,0.05465393526565154
140815,0.08296713685299295
140816,0.06274730168693354
140906,0.14292569801104643
140907,0.16289082010184985
140908,0.1722406842487924
141002,0.05390882374022954
141003,0.11195004732966513
141004,0.07492144534229295
141103,0.1144143518734077
141106,0.1579182222488028
141108,0.09906916691717421
141151,0.0
141206,0.040815556133514674
141207,0.05034309545725363
141208,0.04653271865396175
