tumbol_ID,sum_rain,poverty_rate_living,poverty_rate_health,poverty_rate_education,poverty_rate_income,poverty_rate_accessibility
110113,2414.99,0.290314067,2.639218791,0.211137503,5.991026656,0.0
110115,2414.99,0.070353173,0.689461095,0.893485296,0.506542845,0.0
110117,2414.99,0.019508389,0.045519573,0.253609052,0.026011185,0.013005592
110151,,0.897993546,9.800757682,0.259576259,1.262803424,0.0
110155,,0.737004344,1.182569707,0.033627575,1.527252347,0.002802298
110156,,0.894156789,3.389478062,0.707007694,2.911208151,0.0
110157,,0.473741202,0.812127775,0.358689767,1.475365457,0.04737412
110201,2835.25,0.824091973,7.30491403,0.111913725,1.831315495,0.0
110202,2835.25,0.077021823,0.0,0.0,0.0,0.0
110204,2835.25,0.328389831,12.10805085,1.228813559,3.13559322,0.0
110205,2693.6900000000005,0.046554935,0.139664804,0.027932961,0.065176909,0.0
110206,2835.25,0.038865138,0.077730276,0.932763311,1.360279829,0.0
110252,,0.192030725,0.432069131,0.032005121,11.87389982,0.0
110303,2625.1200000000003,0.454890068,0.461782342,0.261906403,1.323316562,0.0
110304,2625.1200000000003,0.305176484,12.56405827,0.109402891,0.236079922,0.0
110308,2625.1200000000003,3.806602923,3.734439834,0.090203861,1.509411269,0.0
110309,2625.1200000000003,0.245941958,3.246433842,3.984259715,19.52779144,0.0
110409,2414.99,0.13050571,6.688417618,3.491027732,11.71288744,0.0
110411,2414.99,0.29717682,8.221892026,2.129767211,17.92966815,0.0
110412,2414.99,36.76727909,19.6631671,2.405949256,44.7287839,1.24671916
110452,,3.633657298,7.853953244,0.350232029,15.8479993,0.035023203
110453,,3.124755878,8.788375908,2.273259902,16.0690571,0.023435669
110501,2525.6399999999994,21.40590289,22.56426531,3.030783878,9.314503332,0.111075849
110502,2549.8,1.190765492,2.138517618,1.125961928,6.869177805,0.0
110503,2525.6399999999994,14.71088435,13.52040816,0.552721088,0.12755102,0.0
110505,2414.99,7.14178319,5.975041347,1.804239964,4.901518569,0.0
110601,2835.25,2.023873631,6.19278406,2.077723927,3.567582122,0.040387722
110651,,0.531701445,0.160513644,0.22070626,1.424558587,0.0
120108,2615.19,0.0,0.955974843,0.0,0.0,0.0
120109,2615.19,0.0,0.162513543,0.0,0.0,0.0
120110,2615.19,0.0,0.534759358,0.0,0.103501811,0.0
120152,,0.0,0.0,0.0,0.0,0.0
