tumbol_ID,Factory,BigC Supermarket,Toyota,"shopping malls, department stores, supermarkets","condominium, flat, apartment",village,PT gas station,temple,House / Residence,Gold Shop,building,7-11,poverty_rate_living,poverty_rate_health,poverty_rate_education,poverty_rate_income,poverty_rate_accessibility
110113,0.0001556600498167,0.0002983958896676,0.0001666828318577,0.0003895487021893,0.0001562190447083,4.577901058243264e-05,0.0005547881514627,0.0006964515431029,0.0004311896856553,0.0005489850262001,0.0001565857907945,4.507096929103485e-05,0.290314067,2.639218791,0.211137503,5.991026656,0.0
110115,5.2186586245489895e-05,7.579596061282942e-05,5.217370132153995e-05,0.0002355639045487,4.903754309951396e-05,1.1885251076869082e-05,0.0004897230411067,0.0004042141673584,0.000483458022478,0.0002982680369311,4.796353951613197e-05,4.548113781132609e-05,0.070353173,0.689461095,0.893485296,0.506542845,0.0
110117,5.535581404071984e-05,5.962997962277229e-05,0.0008052783294097,6.386142093691224e-05,0.0003009850791633,3.774760909521175e-05,0.0007899523728623,0.0009996733411351,0.0005505318848005,0.0007787117842818,0.0002976955208176,5.407227711834532e-05,0.019508389,0.045519573,0.253609052,0.026011185,0.013005592
110151,5.535581404071984e-05,5.962997962277229e-05,0.0008052783294097,6.386142093691224e-05,0.0003009850791633,3.774760909521175e-05,0.0007899523728623,0.0009996733411351,0.0005505318848005,0.0007787117842818,0.0002976955208176,5.407227711834532e-05,0.897993546,9.800757682,0.259576259,1.262803424,0.0
110155,5.535581404071984e-05,5.962997962277229e-05,0.0008052783294097,6.386142093691224e-05,0.0003009850791633,3.774760909521175e-05,0.0007899523728623,0.0009996733411351,0.0005505318848005,0.0007787117842818,0.0002976955208176,5.407227711834532e-05,0.737004344,1.182569707,0.033627575,1.527252347,0.002802298
110156,5.535581404071984e-05,5.962997962277229e-05,0.0008052783294097,6.386142093691224e-05,0.0003009850791633,3.774760909521175e-05,0.0007899523728623,0.0009996733411351,0.0005505318848005,0.0007787117842818,0.0002976955208176,5.407227711834532e-05,0.894156789,3.389478062,0.707007694,2.911208151,0.0
110157,5.535581404071984e-05,5.962997962277229e-05,0.0008052783294097,6.386142093691224e-05,0.0003009850791633,3.774760909521175e-05,0.0007899523728623,0.0009996733411351,0.0005505318848005,0.0007787117842818,0.0002976955208176,5.407227711834532e-05,0.473741202,0.812127775,0.358689767,1.475365457,0.04737412
110201,0.0001231554484442,0.000614687574966,0.0006794877908444,0.0005120389204922,0.0002089775668804,3.4014364510303604e-05,0.0004956450531457,0.0008648929325271,0.0009760990773003,0.0007812920605793,0.0005425067049052,0.0002568026984684,0.824091973,7.30491403,0.111913725,1.831315495,0.0
110202,0.0003410919403164,0.001141174899504,0.0015469844439444,0.0013570166002565,0.0006552683923284,0.0008203783657074,0.00072080995592,0.0009465363402858,0.0014919914688775,0.0016357811580791,0.0012887227571395,0.0006463744154455,0.077021823,0.0,0.0,0.0,0.0
110204,9.13975162078145e-05,0.0005624354648756,0.0008171660800729,0.0005365792558108,0.0004292519924632,0.0002301375402496,0.0010440515090599,0.0006136768904472,0.001453612398673,0.0007465209847553,0.0003443973296262,0.0002913500587048,0.328389831,12.10805085,1.228813559,3.13559322,0.0
110205,0.000437696472525,0.001310481098825,0.0012005688175882,0.0010037262642319,0.0005559483702864,0.0004879967735738,0.0013297502193284,0.00025398323119,0.0022414698803992,0.0011108268149857,0.0001625214225899,0.0002059437677281,0.046554935,0.139664804,0.027932961,0.065176909,0.0
110206,0.0002366148341853,0.0014428673089189,0.0016740804826864,0.001431237202231,0.0005285346552838,0.0007795258102836,0.0006033566609358,0.0011743642532438,0.0018652686930808,0.0021419223637803,0.0011071809278801,0.0003103053794273,0.038865138,0.077730276,0.932763311,1.360279829,0.0
