tumbol_ID,sentinel-2_MAX_QA60,sentinel-2_MAX_B8,sentinel-2_MAX_B7,sentinel-2_MAX_B8A,sentinel-2_MAX_B6,sentinel-2_mean_B8,sentinel-2_mean_QA60,sentinel-2_mean_B7,NDBI,sentinel-2_mean_B8A,sentinel-2_mean_AOT,sentinel-2_MAX_B9,sentinel-2_MAX_MSK_CLDPRB,sentinel-2_mean_B6,sentinel-2_MAX_AOT,NDVI_max,sentinel-2_MAX_B3,sentinel-2_MAX_B2,sentinel-2_MAX_B4,NDVI_sum,sentinel-2_MAX_B5,sentinel-2_MAX_B1,poverty_rate_living,poverty_rate_health,poverty_rate_education,poverty_rate_income,poverty_rate_accessibility
110113,27.67567567567568,4726.243243243243,4835.702702702703,4970.216216216216,4691.581081081081,4538.674665574666,11.000382200382202,4664.42917007917,-0.1257922572047524,4745.567745017745,337.4494403494404,8146.554054054054,42.58108108108108,4490.013841113841,338.2027027027027,0.281376451253891,4178.513513513513,4387.108108108108,4026.891891891892,0.9001753898227917,4542.283783783784,4941.202702702703,0.290314067,2.639218791,0.211137503,5.991026656,0.0
110115,55.35135135135136,4783.1621621621625,4950.459459459459,4943.689189189189,4929.0,4616.16576408968,17.758159543626675,4748.450204669166,-0.0813021914489653,4791.210702030775,333.84694482307594,8728.04054054054,53.0,4717.111729171816,337.6891891891892,0.1903324276208877,4655.675675675676,4913.540540540541,4444.972972972973,1.4064955038767233,4921.567567567568,5676.959459459459,0.070353173,0.689461095,0.893485296,0.506542845,0.0
110117,55.35135135135136,5135.283783783784,5304.2972972972975,5342.391891891892,5199.418918918919,4527.901571786029,39.02591380357879,4682.600733720004,-0.1087054196620296,4693.840214411309,328.37564569689425,8792.438356164384,53.01351351351352,4607.637642778264,333.0821917808219,0.2687494456768036,4771.324324324324,5053.148648648648,4654.581081081081,4.69666100062576,5086.148648648648,5659.0,0.019508389,0.045519573,0.253609052,0.026011185,0.013005592
110151,,,,,,,,,,,,,,,,,,,,,,,0.897993546,9.800757682,0.259576259,1.262803424,0.0
110155,27.67567567567568,4970.22972972973,5130.581081081081,5159.824324324324,5086.364864864865,4695.376301358348,18.642343743432395,4840.403267495536,,4874.141909165604,333.5972155206614,8415.054054054053,50.93243243243244,4797.047412743279,335.7260273972603,0.2189689725637436,4741.594594594595,5039.391891891892,4574.77027027027,1.8063955059238508,5040.175675675676,5548.027027027027,0.737004344,1.182569707,0.033627575,1.527252347,0.002802298
110156,41.51351351351352,4978.716216216216,5122.972972972973,5123.9324324324325,5097.4324324324325,4560.157711016677,23.737674273697326,4709.563944570703,,4732.233049461179,332.18457094281047,8737.486486486487,50.0,4644.256531755221,339.74657534246575,0.2289261817932129,4665.135135135135,5031.864864864865,4509.27027027027,4.367831799592458,5027.905405405405,5589.8378378378375,0.894156789,3.389478062,0.707007694,2.911208151,0.0
110157,27.67567567567568,4962.7972972972975,5071.364864864865,5148.391891891892,4963.405405405405,4784.4161534971545,13.91582887235061,4888.7968245941,,4944.422132227522,335.9158769400729,8560.256756756757,48.4054054054054,4823.412016692094,338.0945945945946,0.1837978661060333,4515.121621621622,4777.121621621622,4335.040540540541,1.5295904493799397,4818.094594594595,5492.324324324324,0.473741202,0.812127775,0.358689767,1.475365457,0.04737412
110201,41.51351351351352,4560.081081081081,4717.378378378378,4796.121621621622,4573.918918918919,3915.1157171311456,4.205959107722331,4040.454326005647,-0.066454711086741,4050.50421491448,281.2648606357674,7864.432432432432,45.62162162162162,3940.072918149429,315.55405405405406,0.3228588104248047,4119.722972972973,4175.567567567568,3960.736486486487,9.571218065566876,4359.256756756757,4615.72972972973,0.824091973,7.30491403,0.111913725,1.831315495,0.0
110202,0.0,4772.581081081081,4904.168918918919,5019.4324324324325,4666.054054054054,3936.497362202104,0.0,4045.650260347324,-0.1117972094179979,4064.541854238783,274.7949829832912,7814.966216216216,41.37837837837838,3919.362302477201,276.75,0.2828119099140167,3925.8513513513512,4000.932432432433,3778.25,4.744613166299521,4210.858108108108,4279.756756756757,0.077021823,0.0,0.0,0.0,0.0
110204,55.35135135135136,4408.959459459459,4576.4121621621625,4606.006756756757,4474.006756756757,3969.008822163749,18.309055649655097,4115.323765517177,-0.0387117622057697,4128.484208525342,315.87544781178195,7564.72972972973,44.52702702702703,3983.1882349022767,320.8918918918919,0.2505068182945251,4034.6486486486488,4074.608108108108,3932.2702702702704,6.114090570164661,4346.716216216216,4683.675675675676,0.328389831,12.10805085,1.228813559,3.13559322,0.0
110205,41.51351351351352,4285.013513513513,4409.141891891892,4478.885135135135,4202.486486486487,3435.032877701487,16.854110327794533,3541.1527528898346,-0.0836401150769771,3545.2386753548926,296.2713308200867,7150.202702702703,35.195945945945944,3429.401336905777,316.6232876712329,0.3042031824588775,3622.780821917808,3640.527397260274,3484.698630136986,7.642034703171721,3925.280821917808,4166.6506849315065,0.046554935,0.139664804,0.027932961,0.065176909,0.0
110206,27.67567567567568,4688.358108108108,4841.3378378378375,4873.081081081081,4705.290540540541,4366.3216791094055,2.2433286980570686,4487.509994328908,-0.0733985118264931,4527.272350318125,272.65695524498346,7978.364864864865,42.804054054054056,4317.056161292077,277.3378378378378,0.3027444183826446,4119.601351351352,4127.114864864865,4013.804054054054,3.505706941906144,4463.5878378378375,4517.513513513513,0.038865138,0.077730276,0.932763311,1.360279829,0.0
110252,41.51351351351352,4285.013513513513,4409.141891891892,4478.885135135135,4202.486486486487,3435.032877701487,16.854110327794533,3541.1527528898346,,3545.2386753548926,296.2713308200867,7150.202702702703,35.195945945945944,3429.401336905777,316.6232876712329,0.3042031824588775,3622.780821917808,3640.527397260274,3484.698630136986,7.642034703171721,3925.280821917808,4166.6506849315065,0.192030725,0.432069131,0.032005121,11.87389982,0.0
110303,55.35135135135136,4827.939189189189,5000.657534246576,5036.232876712329,4921.41095890411,4005.78336515396,40.29880626124091,4147.489609931345,-0.0518099592471205,4146.774757769,323.16933651579853,8093.743243243243,50.770270270270274,4046.7354583922897,329.3904109589041,0.2676823735237121,4713.202702702703,4777.067567567568,4579.22972972973,10.341521825539132,4942.040540540541,5265.3378378378375,0.454890068,0.461782342,0.261906403,1.323316562,0.0
110304,55.35135135135136,5313.743243243243,5413.148648648648,5488.013513513513,5277.405405405405,4695.594872769143,18.060840528653387,4839.288482256116,-0.0767787851984917,4871.889859735485,322.2899924998529,8657.378378378378,54.45945945945946,4753.8881968871065,326.0,0.3315730690956116,4846.459459459459,4941.783783783784,4832.459459459459,8.58879797581364,5223.878378378378,5514.8378378378375,0.305176484,12.56405827,0.109402891,0.236079922,0.0
110308,41.51351351351352,5138.040540540541,5250.459459459459,5297.540540540541,5143.256756756757,4802.182246216758,14.390063953045956,4903.825796011678,-0.1033116906670536,4939.969955044014,326.5981317520038,8529.851351351352,54.2972972972973,4843.970101342571,328.6081081081081,0.300335019826889,4845.22972972973,5010.5,4687.635135135135,6.532676058101888,5080.405405405405,5421.424657534247,3.806602923,3.734439834,0.090203861,1.509411269,0.0
110309,41.51351351351352,5201.689189189189,5296.189189189189,5421.608108108108,5157.8378378378375,4727.012932992834,16.788650493496906,4840.538166877896,-0.0935322718795232,4876.982206792326,324.7649936251647,8627.256756756757,56.91891891891892,4760.220488429894,327.5890410958904,0.3140929043292999,5046.0,5245.216216216216,4856.635135135135,6.78425823055646,5234.216216216216,5486.972972972973,0.245941958,3.246433842,3.984259715,19.52779144,0.0
110409,27.67567567567568,5049.904109589041,5146.054794520548,5254.808219178082,4959.013698630137,4804.4640451324085,23.52151746066553,4864.772223569814,-0.1428664434523809,4944.262789568585,341.37177576031115,8365.77027027027,43.48648648648648,4684.74503358008,342.6575342465753,0.3061307072639465,4163.527027027027,4323.472972972973,3870.821917808219,0.8776845266421636,4407.301369863014,5231.554054054054,0.13050571,6.688417618,3.491027732,11.71288744,0.0
