tumbol_ID,distance_BFV,distance_UBP,distance_ROI,distance_KKC,distance_SNO,distance_KOP,distance_UTH,distance_LOE,poverty_rate_living,poverty_rate_health,poverty_rate_education,poverty_rate_income,poverty_rate_accessibility
110113,338.37,496.07,441.21,394.62,549.21,603.59,480.71,442.53,0.290314067,2.639218791,0.211137503,5.991026656,0.0
110115,335.01,492.67,437.94,391.69,546.09,600.42,478.02,440.39,0.070353173,0.689461095,0.893485296,0.506542845,0.0
110117,332.26,487.79,436.64,393.42,546.33,600.15,481.23,446.19,0.019508389,0.045519573,0.253609052,0.026011185,0.013005592
110151,332.26,487.79,436.64,393.42,546.33,600.15,481.23,446.19,0.897993546,9.800757682,0.259576259,1.262803424,0.0
110155,332.26,487.79,436.64,393.42,546.33,600.15,481.23,446.19,0.737004344,1.182569707,0.033627575,1.527252347,0.002802298
110156,332.26,487.79,436.64,393.42,546.33,600.15,481.23,446.19,0.894156789,3.389478062,0.707007694,2.911208151,0.0
110157,332.26,487.79,436.64,393.42,546.33,600.15,481.23,446.19,0.473741202,0.812127775,0.358689767,1.475365457,0.04737412
110201,313.77,468.52,418.97,378.36,529.79,583.16,467.75,436.34,0.824091973,7.30491403,0.111913725,1.831315495,0.0
110202,308.27,463.12,413.52,373.29,524.47,577.78,462.97,432.36,0.077021823,0.0,0.0,0.0,0.0
110204,323.05,477.11,428.47,387.87,539.37,592.72,477.04,444.83,0.328389831,12.10805085,1.228813559,3.13559322,0.0
110205,322.65,475.71,428.63,389.3,540.14,593.26,479.03,447.82,0.046554935,0.139664804,0.027932961,0.065176909,0.0
110206,305.13,460.16,410.34,370.2,521.3,574.6,459.98,429.72,0.038865138,0.077730276,0.932763311,1.360279829,0.0
110252,305.13,460.16,410.34,370.2,521.3,574.6,459.98,429.72,0.192030725,0.432069131,0.032005121,11.87389982,0.0
110303,327.85,482.93,432.59,390.31,542.72,596.37,478.65,444.73,0.454890068,0.461782342,0.261906403,1.323316562,0.0
110304,322.54,478.64,426.76,383.64,536.42,590.22,471.73,437.62,0.305176484,12.56405827,0.109402891,0.236079922,0.0
